epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,93.5605,1.33258,0.76294,1.16772,0.93658,0.93333,0.95998,0.62822,1.24802,0.70114,1.14026,0.000963914,0.000963914,0.000963914
180,94.0492,1.3369,0.74538,1.14692,0.93344,0.93495,0.96043,0.6259,1.25986,0.70077,1.14738,0.000924434,0.000924434,0.000924434
181,94.5281,1.34524,0.73089,1.11952,0.93944,0.93939,0.95869,0.61016,1.30734,0.70226,1.1616,0.000885795,0.000885795,0.000885795
182,94.9971,1.28117,0.73651,1.14859,0.93517,0.93939,0.95934,0.61494,1.28222,0.69628,1.15282,0.000848005,0.000848005,0.000848005
183,95.5177,1.26439,0.70759,1.11665,0.9392,0.93624,0.95993,0.61991,1.27801,0.69872,1.14912,0.000811072,0.000811072,0.000811072
184,95.9841,1.30372,0.74818,1.15629,0.93338,0.93402,0.95549,0.63722,1.24289,0.68143,1.13408,0.000775004,0.000775004,0.000775004
185,96.4778,1.32392,0.75423,1.18357,0.93962,0.94309,0.96119,0.63802,1.23278,0.68083,1.13289,0.000739807,0.000739807,0.000739807
186,96.957,1.32221,0.73989,1.14216,0.93892,0.93163,0.96074,0.63544,1.24476,0.68617,1.13731,0.000705489,0.000705489,0.000705489
187,97.4312,1.34072,0.74601,1.15071,0.92708,0.92463,0.95979,0.62269,1.26822,0.69109,1.14481,0.000672057,0.000672057,0.000672057
188,97.8976,1.31098,0.74261,1.16719,0.92796,0.93939,0.95964,0.62857,1.26047,0.69035,1.14196,0.000639518,0.000639518,0.000639518
189,98.3641,1.34095,0.7781,1.20354,0.93859,0.92628,0.96059,0.62937,1.23617,0.6871,1.13347,0.000607878,0.000607878,0.000607878
190,98.835,1.27372,0.73614,1.18088,0.939,0.93939,0.96222,0.63438,1.21815,0.69034,1.12882,0.000577144,0.000577144,0.000577144
191,99.3009,1.30634,0.72219,1.14324,0.92737,0.92856,0.9606,0.64204,1.22542,0.69608,1.13079,0.000547322,0.000547322,0.000547322
192,99.8436,1.31416,0.7405,1.1567,0.92182,0.92899,0.95938,0.63719,1.23626,0.69969,1.13514,0.000518418,0.000518418,0.000518418
193,100.308,1.30708,0.73236,1.14717,0.91681,0.92727,0.95877,0.63478,1.26722,0.70423,1.14666,0.000490438,0.000490438,0.000490438
194,100.779,1.30297,0.73133,1.1399,0.91388,0.93333,0.95861,0.62625,1.2813,0.70216,1.15227,0.000463388,0.000463388,0.000463388
195,101.245,1.28857,0.72628,1.15567,0.91185,0.94044,0.95928,0.62436,1.27307,0.69666,1.14927,0.000437273,0.000437273,0.000437273
196,101.708,1.29343,0.72199,1.14351,0.9119,0.94101,0.95943,0.61851,1.27697,0.69641,1.15008,0.000412099,0.000412099,0.000412099
197,102.175,1.27255,0.7246,1.138,0.91689,0.93607,0.9613,0.62219,1.25697,0.69167,1.14415,0.00038787,0.00038787,0.00038787
198,102.639,1.28477,0.71753,1.15121,0.9164,0.93015,0.96186,0.62783,1.23727,0.68425,1.13472,0.000364593,0.000364593,0.000364593
199,103.112,1.31122,0.73444,1.12085,0.91634,0.92931,0.96189,0.62685,1.23967,0.6826,1.13402,0.00034227,0.00034227,0.00034227
200,103.58,1.27727,0.71386,1.13023,0.9109,0.92944,0.96044,0.62906,1.23687,0.68562,1.13191,0.000320908,0.000320908,0.000320908
201,104.892,1.33005,0.89415,1.19586,0.91539,0.94545,0.96095,0.63319,1.22335,0.68155,1.12595,0.00030051,0.00030051,0.00030051
202,105.476,1.33668,0.90122,1.22598,0.92289,0.94299,0.96102,0.63503,1.21168,0.68037,1.12188,0.00028108,0.00028108,0.00028108
203,105.955,1.32222,0.88809,1.22358,0.93999,0.93939,0.96159,0.63518,1.20805,0.68077,1.12011,0.000262623,0.000262623,0.000262623
204,106.432,1.28817,0.84313,1.17913,0.94489,0.93514,0.96163,0.64291,1.21202,0.68394,1.12174,0.000245142,0.000245142,0.000245142
205,106.928,1.30141,0.8466,1.21408,0.93892,0.93162,0.95526,0.63684,1.21947,0.68973,1.1245,0.000228641,0.000228641,0.000228641
206,107.405,1.25592,0.8069,1.15244,0.93894,0.93191,0.95547,0.63079,1.22815,0.70068,1.12714,0.000213123,0.000213123,0.000213123
207,107.887,1.29713,0.8239,1.16939,0.92516,0.93333,0.95522,0.6238,1.23395,0.71072,1.12984,0.000198591,0.000198591,0.000198591
208,108.403,1.28626,0.79605,1.13902,0.92704,0.93333,0.95468,0.6251,1.23642,0.71903,1.13218,0.000185049,0.000185049,0.000185049
209,108.882,1.33489,0.82853,1.18658,0.92125,0.92175,0.95355,0.62494,1.23747,0.72876,1.13327,0.000172499,0.000172499,0.000172499
210,109.353,1.21661,0.78254,1.16203,0.91964,0.93333,0.95184,0.62775,1.23581,0.73366,1.13295,0.000160943,0.000160943,0.000160943
211,109.84,1.26087,0.81616,1.23384,0.92791,0.9361,0.95298,0.62531,1.23476,0.73558,1.13321,0.000150384,0.000150384,0.000150384
212,110.307,1.29016,0.81621,1.1888,0.92762,0.93201,0.95329,0.62795,1.23347,0.73602,1.13252,0.000140824,0.000140824,0.000140824
213,110.775,1.27229,0.79374,1.15525,0.91973,0.93333,0.95292,0.62702,1.23056,0.73412,1.13097,0.000132265,0.000132265,0.000132265
214,111.262,1.24599,0.79036,1.18791,0.92771,0.93333,0.95368,0.62667,1.22821,0.72928,1.13011,0.00012471,0.00012471,0.00012471
215,111.74,1.28926,0.81845,1.19992,0.92651,0.93333,0.95414,0.62918,1.22372,0.72315,1.1279,0.000118158,0.000118158,0.000118158
216,112.219,1.24998,0.7966,1.1706,0.93678,0.93333,0.95473,0.62856,1.21994,0.71571,1.12653,0.000112612,0.000112612,0.000112612
217,112.728,1.23239,0.77766,1.1593,0.94115,0.92121,0.95467,0.63289,1.21605,0.70936,1.12481,0.000108073,0.000108073,0.000108073
218,113.197,1.27917,0.80817,1.16572,0.93795,0.91618,0.95342,0.63803,1.21564,0.70377,1.12419,0.000104542,0.000104542,0.000104542
219,113.663,1.25099,0.78292,1.13778,0.94517,0.92121,0.96364,0.63924,1.2148,0.69863,1.1243,0.000102019,0.000102019,0.000102019
220,114.171,1.26588,0.78655,1.14188,0.94609,0.92121,0.9636,0.63934,1.21381,0.69364,1.12437,0.000100505,0.000100505,0.000100505
