epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28.3407,2.49255,1.72375,1.89298,0.00595,0.02424,0.00305,0.00129,4.8163,3.66012,3.06294,0.0227657,0.00776567,0.00776567
44,28.8192,2.49218,1.70569,1.87426,0.00424,0.01818,0.00216,0.00086,4.79886,3.66534,3.05552,0.0209133,0.00791332,0.00791332
45,29.2866,2.44676,1.7263,1.90356,0.01897,0.08485,0.01029,0.00397,4.58691,3.65639,3.00161,0.0190586,0.00805862,0.00805862
46,29.7793,2.51915,1.53223,1.80553,0.02436,0.11515,0.01447,0.00635,4.40477,3.6406,2.96891,0.0172015,0.00820154,0.00820154
47,30.3217,2.46022,1.61834,1.80636,0.03727,0.18182,0.02429,0.00789,4.25415,3.61224,2.90156,0.015342,0.00834202,0.00834202
48,30.8101,2.34532,1.58165,1.82995,0.05199,0.30909,0.11465,0.02721,3.85514,3.49936,2.77496,0.01348,0.00848004,0.00848004
49,31.2933,2.40293,1.53326,1.86547,0.06024,0.39394,0.12307,0.03569,3.6875,3.40516,2.65507,0.0116155,0.00861554,0.00861554
50,31.7713,2.3604,1.48352,1.77093,0.05862,0.40606,0.1535,0.04304,3.58151,3.31051,2.62407,0.0097485,0.0087485,0.0087485
51,32.2529,2.26427,1.46136,1.75324,0.06196,0.56364,0.20235,0.05468,3.27359,3.09941,2.4337,0.00879096,0.00879096,0.00879096
52,32.73,2.2519,1.40969,1.72104,0.79481,0.11744,0.25377,0.07798,3.04218,2.8311,2.29604,0.00874429,0.00874429,0.00874429
53,33.2071,2.32645,1.488,1.76119,0.23649,0.40606,0.19894,0.05617,3.051,2.89397,2.27426,0.00869687,0.00869687,0.00869687
54,33.6688,2.21326,1.51202,1.7496,0.28432,0.13333,0.17697,0.04786,3.09328,2.7287,2.27593,0.0086487,0.0086487,0.0086487
